name,price,images
包邮【正版】Python程序设计——计算思维视角 陈杰华 著,38.50,
【包邮】Python与神经网络实战+Python神经网络编程 深度学习人工智能机器学习教程书,105.00,
python学习手册 第4版 python编程从入门到精通 计算机网络程序设计编程书籍,83.30,
OpenCV3计算机视觉Python语言实现 原书第2版 人脸检测与识别,36.60,
机器学习系统设计：Python语言实现,46.60,
正版基于Python的大数据分析基础及实战+Python数据分析基础2本书籍,80.60,
Raspberry Pi编程指南·第2版 基于Python的游戏编程与机器人制作,38.70,
包邮你也能看得懂的Python算法书+图解算法 使用Python Python语言快速入门教程书,78.80,
Selenium 2自动化测试实战+Web接口开发与自动化测试 基于Python语言,88.00,
官方正版 少博士趣学Python 周安琪 青少年Python编程启蒙 绘图软件密码程序设计书籍,59.10,
Python物理建模初学者指南,44.80,
达人迷 Python趣味编程10例,74.50,
包邮 小小的Python编程故事+编程猫：孩子们写的编程入门书 儿童编程学习入门书籍 2本,96.00,
PYTHON高级数据分析:机器学习.深度学习和NLP实例,48.40,
Python编程基础与案例集锦（中学版）董付国 Python基本语法内置对象用法技巧教程书籍预售,34.30,
Web接口开发与自动化测试：基于Python语言 虫师 9787121310997 电子工,39.50,
机器学习：使用OPENCV和PYTHON进行智能图像处理  9787111611516,56.60,
包邮 Django企业开发实战 高效Python Web框架指南+Django 2.0 入门与实践,166.80,
PYTHON数据分析基础教程/王斌会,36.80,
和孩子一起玩编程+父与子的编程之旅(与小卡特一起学Python),107.61,
Python与神经网络实战,58.50,
包邮  python核心编程第2版 第二版 python开发大全 python入门到精通书籍,66.60,
流畅的Python PSF研究员 知名PyCon演讲者心血之作 全面深入 对Python,97.30,
Python黑帽子,36.80,
包邮Django企业开发实战 高效Python Web框架指南+玩转Django 2.0书籍,126.00,
【R】Django企业开发实战 高效Python Web框架指南 web开发 the5fire力作从,67.00,
Selenium2自动化测试实战:基于Python语言 虫师 本书适合软件功能测试人员、软件自动化测,45.10,
包邮 scikit-learn机器学习 第2版+利用Python进行数据分析原书第2版图书籍 共3本,221.00,
正版现货 Django企业开发实战 高效Python Web框架指南 胡阳 人民邮电出版社,73.90,
Python程序设计基础教程 慕课版 大学教材,29.10,
面向自然语言处理的深度学习 用Python创建神经网络书籍,48.60,
利用Python进行数据分析 大量实践案例教会你如何利用Python库高效解决各式各样的数据分析问题,49.80,
Python机器学习,50.40,
深度学习入门 基于Python的理论与实现 斋藤康毅 Python源代码分析书籍,39.80,
人邮官方   Python密码学编程 信息安全加密算法软件开发计算机源代码,51.75,
包邮 零基础入门学习Python 小甲鱼 pyhton3.0从入门到精通python语言程序设计书籍,34.70,
基于Python的大数据分析基础及实战 余本国 Python数据分析基础书籍,48.80,
预售包邮 Python编程基础与案例集锦 中学版 董付国 Python基本语法内置对象用法技巧教程书,36.60,
包邮 零起点Python大数据与量化交易+量化投资 以Python为工具+零起点Python机器学习,215.60,
和孩子一起玩编程,54.50,
包邮Python渗透测试编程技术方法与实践+Python黑帽子黑客与渗透测试编程之道书籍,92.60,
Python统计分析+贝叶斯思维 统计建模的Python学习法书籍,95.60,
Python编程入门 (第3版 ),29.30,
包邮  Python数据分析基础教程：NumPy学习指南(第2版)图书籍,36.60,
Python3程序设计基础,42.40,
PySpark实战指南：利用Python和Spark构建数据密集型应用并规模化部署,36.60,
图解服务器端网络架构 编程 计算机书籍 python爬虫 游戏开发 局域网组建 网站开发 网页设计,58.40,
python数据科学：技术详解与商业实践 Python数据分析数据挖掘 机器学习书籍,73.00,
5本Python 网络爬虫实战+自己动手写网络爬虫+精通Python爬虫框架Scrapy,225.00,
Python树莓派编程 畅销书籍 计算机 正版 沃尔弗拉姆 多纳特(Wolfram Don,40.20,
Python计算机视觉编程,51.80,
正版 Python黑帽子 黑客与渗透测试编程之道 Python编程 Python编程,38.50,
零基础学编程树莓派和Python python编程教程 树莓派入门教程书籍 树莓派Python编程,42.80,
利用Python进行数据分析 原书第2版,83.00,
6g正版 趣学Python 教孩子学编程 全彩印刷 少儿编程入门书 计算机知识 轻松有趣地掌握 Py,46.15,
scikit-learn机器学习 第2版 Python语言编写机器学习算法库书,41.50,
包邮 玩转Django 2.0+玩转Python网络爬虫书籍 黄永祥,97.50,
跟老齐学Python Django实战 第2版+ 玩转Django 2.0图书籍 共2册,105.50,
包邮 Python 深度学习实战+深度学习 基于Keras的Python实践+深入浅出深度学习,159.00,
PYTHON 3.7从零开始学,62.40,
Python编程入门(第3版),27.00,
包邮Django企业开发实战 高效Python Web框架指南+Django 2.0 入门与实践,166.80,
现货 Python学习手册(原书第5版)基于Python3.3 2.7/Python入门基础教程,168.00,
PYTHON程序设计基础实战教程 全新正版,30.20,
少博士趣学Python,66.90,
Python 3.6零基础入门与实战+Python网络爬虫实战（2版）2本,103.80,
Python基础教程(第3版)/图灵程序设计丛书,74.00,
Python数据可视化之matplotlib实践 数据分析从入门到实战系列 刘大成,38.20,
Raspberry Pi：Python编程入门,29.90,
零基础入门学习Python 小甲鱼 Python3入门教程书籍 Python3基础,33.50,
Python网络爬虫从入门到实践 9787111578413 机械工业出版社,30.90,
现货2本 Python编程从入门到实践+从零开始学Python网络爬虫 python3.5,138.00,
正版 Python编程无师自通——专业程序员的养成 算机与互联网 编程语言与程序设计 计算机,45.80,
Python贝叶斯分析,53.10,
Python数据分析与挖掘实战 张良均 机械工业出版社,58.00,
Python游戏编程快速上手 [美] Al Sweigart（斯维加特）；李强 97871,34.22,
算法图解 像小说一样有趣的算法入门书 代码基于python算法基础书籍计算机算法设计分析编程算法教程,40.00,
Python程序设计基础 9787121302923,23.50,
PYTHON核心编程(第2版),66.80,
【现货正版】 Python编程无师自通 专业程序员的养成 宋秉金Python3网络爬虫项目编程,39.20,
人邮官方Python经典实例 Python编程进阶图书核心编程 基础教程入门到实践 流程的Pytho,111.20,
零基础学Python（图文版）,46.30,
PYTHON机器学习与量化投资,58.10,
包邮 Python Linux系统管理与自动化运维|6550978,62.30,
正版  Python测试之道 接口自动化及并发测试 Python 3.6编程技术及UnitTest测,44.90,
包邮Python经典实例 Python初学者指南书籍 .,98.50,
Python基础教程 第3版 Python简明教程书籍 ython编程从入门到实践 head fir,88.70,
Python数据分析：基于Plotly的动态可视化绘图,47.40,
你也能看得懂的Python算法书,43.70,
Python量化交易实战 湖北新华书店,71.10,
Python程序设计基础 李东方 计算机 网络 python语言程序设计基础核心教程   pytho,27.30,
父与子的编程之旅：与小卡特一起学Python Python 教孩子编程的图书,49.30,
树莓派机器人实战秘笈 第3版+树莓派开发实战+Python树莓派编程书籍 4本,190.00,
Python科学计算基础教程 印 赫曼塔 库玛 梅赫塔 Hemant Kumar Meht,28.42,
人工智能基础教程Python篇 青少版 python人工智能 书籍 青少年自学人工智能基础,34.00,
Python网络爬虫从入门到实践 计算机与互联网 编程语言与程序设计 零基础自学Python编程,36.30,
Python网络编程(第3版),57.70,
Python Qt GUI快速编程——PyQt编程指南 (英)Mark Summerfie,45.82,
小小的Python编程故事 写给孩子看的Python编程零基础入门书籍 Python编程启蒙书,55.20,
编程语言实现模式,46.30,
Python量化交易实战入门与技巧 量化投资与Python语言编程教程书籍,48.80,
PYTHON趣味编程入门,37.70,
零基础学编程：树莓派和Python 湖北新华书店 京东自营店,42.63,
深度学习入门 基于Python的理论与实现 斋藤康毅 Python源代码分析书籍,39.80,
人邮官方   Python密码学编程 信息安全加密算法软件开发计算机源代码,51.75,
包邮 零基础入门学习Python 小甲鱼 pyhton3.0从入门到精通python语言程序设计书籍,34.70,
基于Python的大数据分析基础及实战 余本国 Python数据分析基础书籍,48.80,
预售包邮 Python编程基础与案例集锦 中学版 董付国 Python基本语法内置对象用法技巧教程书,36.60,
包邮 零起点Python大数据与量化交易+量化投资 以Python为工具+零起点Python机器学习,215.60,
和孩子一起玩编程,54.50,
包邮Python渗透测试编程技术方法与实践+Python黑帽子黑客与渗透测试编程之道书籍,92.60,
Python统计分析+贝叶斯思维 统计建模的Python学习法书籍,95.60,
包邮Python经典实例 Python初学者指南书籍 .,98.50,
Python基础教程 第3版 Python简明教程书籍 ython编程从入门到实践 head fir,88.70,
包邮 Python深度学习 基于TensorFlow+Python自然语言处理实战 核心技术与算法书,108.60,
包邮深度学习入门基于Python的理论与实现+TensorFlow学习指南 深度学习系统构建详解书籍,93.50,
跟老齐学Python：轻松入门 齐伟Python入门书籍 python核心编程技术,42.00,
精通Python自然语言处理,44.30,
Python全栈数据工程师养成攻略(视频讲解版)张宏伦 编著,46.64,
Python性能分析与优化,32.90,
包邮 Python学习手册:第4版|197976,83.30,
正版《Python宝典》，杨佩璐宋强 电子工业出版社 9787121225628,211.00,
物联网应用设计与实战 基于AVR单片机和Python 物联网设备设计制作运行实践操作指南书,41.60,
包邮 Spark数据分析：基于Python语言（英文版）|8056991,55.30,
Python编程 从入门到实践+编程快速上手让繁琐工作自动化+流畅的Python+编程之美 4本,289.00,
现货正版零起点python足彩大数据与机器学习实盘分析+零起点Python机器学习快速入门,118.00,
官方正版包邮 Python机器学习与量化投资 Python语言sklearn模块库内置机器学习书籍,58.50,
"【北京发货】Python计算机视觉编程 [美]Jan Erik Solem,朱文涛",53.80,
Python高手之路 第3版,46.10,
SQL即查即用+零基础学HTML5+CSS3+零基础学JavaScript+零基础学Python 全,173.00,
现货 小天才学Python 一本专为小学生编写的Python编程教材 python语言编程入门教程书,25.50,
Python核心编程（第3版）大数据分析 程序设计 移动开发,56.90,
包邮对比Excel 轻松学习Python数据分析+Python数据分析与应用书籍,81.60,
Python语言及其应用书籍,56.80,
包邮 Django企业开发实战：高效Python Web框架指南书籍 胡阳,72.00,
父与子的编程之旅 与小卡特一起学Python 中小学生编程 python编程入门教程 Python语,52.60,
包邮Python编程从入门到实践python3核心编程基础教程网络爬虫入门书籍 零基础学python,66.60,
Python大战机器学习,46.90,
Python高级编程 第2版 [波兰]Micha Jaworski 贾沃斯基  [法]Ta,51.62,
Python程序设计--从基础到开发(21世纪高等学校计算机应用技术规划教材),39.20,
"""笨办法""学Python 3 异步图书 计算机软件编程书籍",39.80,
PyQt5快速开发与实战 PyQt5教程书 qt基础知识 Python Qt 5实战应用开发,77.20,
正版 用Python写网络爬虫 第2版+Python 3网络爬虫开发实战 计算机 网络,96.40,
统计自然语言处理+Python自然语言处理 +NLP汉语自然语言处理原理与实践 3本,201.80,
Python开发向导/云计算工程师系列,39.30,
PYTHON编程无师自通 专业程序员的养成,42.80,
正版 Python设计模式 韦塞尔 巴登霍斯特 Python3并发编程语言从入门到精通教,79.40,
包邮 Python地理数据处理+Python地理空间分析指南 第2版,118.00,
Python数据科学指南,53.00,
Python程序设计基础 李东方 主编 图书籍,27.82,
Django企业开发实战 高效Python Web框架指南  胡阳,62.40,
正版 全2册 教孩子学编程python语言版+趣学Python 少儿儿童编程入门教程书 中小学编程自,110.00,
包邮MicroPython入门指南+micro:bit 入门指南,110.00,
包邮Python程序设计第一课 赵军+零基础入门学习Python 小甲鱼+中学生可以这样学,99.80,
Python编程基础与案例集锦（中学版）董付国 Python基本语法内置对象用法技巧教程书籍 预售,34.30,
Python网络数据爬取及分析从入门到精通（分析篇）,47.20,
Python机器学习与量化投资书籍  何海群 Python语言sklearn模块库内置机器学习算法,53.80,
人邮官方    图灵教育 Python 3网络爬虫开发实战 Scrapy数据分析处理手册 数据抓取,74.25,
Python强化学习实战(应用OpenAI Gym和TensorFlow精通强化学习,53.82,
正版现货 Python核心编程第3版 python开发大全 python入门到精通书籍 p,64.30,
Python生物信息学数据管理 9787121303821,43.50,
【包邮特价】Python数据科学：技术详解与商业实践 计算机与互联网 书|231640,47.50,
【正版现货】OpenCV3计算机视觉：Python语言实现（原书第2版）Python入门书,37.00,
包邮Python物理学高效计算+Python物理建模初学者指南教程书,118.50,
数据结构 Python语言描述 [美] Kenneth A. Lambert 兰伯特 97,40.02,
包邮 Python高级数据分析：机器学习、深度学习和NLP实例 计算机与|8055560,41.30,
Python项目开发实战（第2版）,62.30,
你也能看得懂的PYTHON算法书王硕等,46.61,
零基础学Minecraft编程图文版+我的Python世界 玩《Minecraft 我的世界书籍,109.80,
Python数据科学：技术详解与商业实践 9787111603092 常国珍 赵仁乾,56.40,
Python项目案例开发从入门到实战 爬虫、游戏和机器学习书籍,55.20,
包邮 Python程序设计（原书第2版）Python基础知识计算机科学丛书|8053459,83.30,
包邮 Selenium自动化测试 基于 Python 语言 web UI测试入门书籍 构,38.60,
正版 Python机器学习 软件开发 深度学习 算法 人工智能 神经网络 Python机器教程 人,64.40,
教孩子学编程(Python语言版)【新华书店官方正版】零基础学编程 Python入门教程书籍 儿童编,39.20,
PYTHON编程从入门到精通,57.30,
从零开始学PYTHON数据分析(视频教学版),54.50,
Python网络爬虫从入门到实践,38.22,
Python参考手册 第4版 修订版,63.60,
零起点Python足彩大数据与机器学习实盘分析 自学量化回溯赔率数据增强人工智能AI工程师技术员算法,88.00,
Python生物信息学数据管理,36.60,
包邮 Python数据分析实战 吕云翔 零基础入门Python数据分析书籍,31.50,
Python3网络爬虫开发实战 崔庆才Scrapy数据分析处理手册 数据抓取指南,79.20,
Python高性能编程 [美] Micha Gorelick 戈雷利克 Ian Ozsva,45.82,
包邮Python 3学习笔记(上卷) 雨痕+零基础入门学习Python 小甲鱼,103.50,
包邮现货 编写高质量代码：改善Python程序的91个建议[按需印刷]|3770256,59.00,
Python神经网络编程  人工智能深度学习机器学习领域又一重磅力作  编程语言与程序设计书籍,49.80,
Python 3.6零基础入门与实战,45.40,
金融数量分析 基于Python编程 Python量化投资入门书籍,43.80,
现货包邮 机器学习：使用OpenCV和Python进行智能图像处理机器学习入门书籍|8053731,48.30,
Python网络编程(Linux) 赵宏 Python语言编程入门教程书籍,29.50,
Python贝叶斯分析 python编程教程书籍,49.50,
精通Python设计模式,33.80,
Python高级编程,42.30,
Python 3.6从入门到精通 Python语言编程教程书籍,62.60,
Python数据分析(2版),56.60,
Python地理数据处理 python数据处理 ArcGIS 矢量数据,55.30,
Python测试之道,43.70,
Python编程从入门到精通 零基础学编程基础教程核心编程图书 网络编程web开发大数据,59.25,
Python自然语言处理实战(核心技术与算法)/智能系统与技术丛书,53.82,
现货包邮零起点Python机器学习快速入门,44.20,
Python社会媒体挖掘,57.80,
正版 Python编程无师自通 程序员的养成+用Python写网络爬虫  共三本 算机与互联网,169.00,
自然语言处理PYTHON进阶,44.30,
包邮 Python程序员面试算法宝典+百面机器学习 算法工程师带你去面试书籍 2本,109.60,
2本 深度学习入门 基于Python的理论与实现+笨办法学Python 3,87.50,
基于Python的大数据分析基础及实战 python书籍 python基础教程 编程入门 计算机编程,40.90,
Python贝叶斯分析,51.80,
包邮 ABAQUS Python二次开发攻略 CAE分析大系+Abaqus经典例题集书籍,101.80,
新版现货 高教版 2019年全国计算机等级考试二级教程 Python语言程序设计 教材+冲刺试卷 含,71.80,
虫师测试书籍二部曲 Web接口开发与自动化测试 基于Python语言+Selenium 2自动化测试,84.90,
正版Python强化学习实战 应用OpenAI Gym和TensorFlow精通强化学习和深度强化学,47.80,
自动化平台测试开发：Python测试开发实战 9787121342905,46.20,
正版Abaqus GUI程序开发指南 Python语言+ABAQUS Python二次开发攻略,99.00,
Python漫游指南(影印版)(英文版),64.77,
零基础入门学习Python 小甲鱼 Python3入门教程书籍 Python3基础 天蓝色,34.60,
包邮Python和NLTK自然语言处理运用NLTKPython库构建专业NLP和机器学习项目学习,103.50,
PYTHON基础教程(第三版),64.30,
Python量化交易实战 王晓华 Python量化交易教程书籍,55.80,
Effective Python:编写高质量Python代码的59个有效方法,35.40,
【闪电发货】流畅的Python  (巴西)卢西亚诺·拉马略(Luciano Ramalho,111.12,
量化投资：以Python为工具 量化投资分析/金融投资/Python语言处理数据书籍,69.90,
Python渗透测试编程技术 方法与实践 黑客防范技术编程教程 黑客攻防技术黑客攻防入门进阶,46.50,
包邮 Selenium自动化测试之道——基于Python和Java语言 计算机 软件开发,45.80,
OpenCV 3计算机视觉：Python语言实现 原书第二2版 计算机编程书籍,40.70,
我的Python世界,49.30,
Python自然语言处理+Python计算机视觉编程2本,113.00,
区域包邮贝叶斯思维:统计建模的Python学习法+统计思维：程序员数学之概率统计  2本,73.00,
少儿编程语言 小学生c++趣味编程+ Scratch2.0少儿编程奇幻之旅+趣学Python,125.00,
包邮 Python 3.7从零开始学书籍 全程视频教学 兄弟连教育组织编写,58.50,
2本 Python编程从零基础到项目实战+Python3 网络爬虫开发实战,112.80,
Python编程与问题求解/国外计算机科学经典教材,52.30,
正版  Python网络爬虫从入门到实践/计算机网络爬虫基础入门到精通/书籍,42.41,
跟老齐学Python：Django实战（第2版）,66.20,
OpenCV 3和Qt5计算机视觉应用开发+OpenCV算法精解 基于Python与C++书籍 2册,126.50,
利用Python进行数据分析(原书第2版) 9787111603702 机械工业出版社,75.00,
PYTHON神经网络编程+Python与机器学习实战 深度学习人工智能机器学习入,100.10,
Python渗透测试编程技术 方法与实践 李华峰 Python 黑帽子书籍,45.00,
Python微控制器编程从零开始 使用MicroPython,32.80,
"Python统计分析 建模 数据分析 讲述统计数据分析与应用 Springer""统计和计",56.90,
Python从小白到大牛 9787302509332,59.60,
扫码看视频笨办法学python3 基础编程从入门到实践 核心编程语言书籍 计算机程序设计从零到入门,41.30,
Python数据分析实战,62.40,
包邮卷积神经网络的Python实现+解析深度学习 卷积神经网络原理与视觉实践书籍,95.60,
零压力学Python 全新正版,60.80,
Python Web开发 测试驱动方法 [英] 珀西瓦尔（Harry J.W. Perci,57.42,
包邮 Python网络爬虫从入门到实践/计算机网络爬虫基础入门到精通/书籍|6558042,34.30,
正版包邮 Python数据分析 python模块数据分析 编程教程教材零基础入门书籍,48.98,
正版包邮 Python自然语言处理 计算机编程语言 软件开发书籍人民邮电出版社 Python入门基础,70.46,
2本 正版 Python文本分析+精通Python自然语言处理 2本 NLP数据文本挖掘处理技术书,102.00,
深度学习：基于Keras的Python实践 魏贞原 9787121341472,33.60,
Python自然语言处理+Python自然语言处理实战 核心技术与算法+Python文本分析,169.80,
父与子的编程之旅：与小卡特一起学Python,55.20,
Python数据可视化之matplotlib实践,35.40,
自然语言处理Python进阶 理解和实现NLP解决方案书籍,41.80,
跟老齐学Python Django实战 第2版 齐伟,53.60,
从零开始学Python程序设计,61.62,
包邮 面向自然语言处理的深度学习+Python自然语言处理实战+Python自然语言处理+进阶,215.60,
新书 零起点Python足彩大数据与机器学习实盘分析 何海群著 黄爱萍编,77.80,
Python网络爬虫从入门到实践,36.80,
小小的Python编程故事+你也能看得懂的Python算法书 青少年儿童趣味学Python编程书籍,96.00,
知识网络与合作网络的关系——基于Python编程,46.50,
包邮 小天才学Python 一本专为小学生编写的Python编程教材 python语言编程入门教程书,27.80,
人民邮电：精通Python爬虫框架Scrapy,44.25,
Python+Spark 2.0+Hadoop机器学习与大数据实战机器学习算法与大数据技术,73.80,
我的Python世界 玩minecraft 青少年编程教程书,51.80,
Abaqus GUI程序开发指南 Python语言,42.10,
Python趣味编程入门 人工智能 青少年学编程 人工智能热门编程语言 附赠源代码文件,35.80,
包邮 scikit-learn机器学习 第2版+利用Python进行数据分析 原书第2版 3本,221.00,
用Python写网络爬虫,33.30,
和孩子一起玩编程+父与子的编程之旅(与小卡特一起学Python),102.89,
算法图解 算法基础书 基于Python语言,33.00,
包邮小小的Python编程故事+教孩子学编程 Python语言版 少儿编程入门书,96.00,
包邮 Flask Web开发 基于Python的Web应用开发实战 第2版 +轻量级Django书籍,79.80,
2本包邮   跟老齐学Python 数据分析+Python数据分析入门从数据获取到可视化书籍,103.80,
小小的Python编程故事+机器人Python极客编程入门与实战+教孩子学编程 Python语言版,278.00,
Selenium2自动化测试实战:基于Python语言 虫师 本书适合软件功能测试人员、软件自动化测,45.10,
包邮 scikit-learn机器学习 第2版+利用Python进行数据分析原书第2版图书籍 共3本,221.00,
正版现货 Django企业开发实战 高效Python Web框架指南 胡阳 人民邮电出版社,73.90,
正版包邮 Python基础教程(第3版)人民邮电出版社 python入门 零基础学编程,70.40,
2本 Scratch少儿游戏趣味编程+青少年学Python 视频讲解编程语言,105.60,
数据科学导论：Python语言实现（原书第2版）,46.50,
Python数据科学入门 [俄]德米特里·齐诺维耶夫(Dmitry Zinoviev 97,28.42,
人邮官方   图灵教育 包邮 Python基础教程 第3版 Python入门版,74.30,
Cloudera Hadoop大数据平台实战指南大数据技术书籍 大数据技术 Python Spark,40.00,
OpenCV3计算机视觉Python语言实现 原书第2版 人脸检测与识别,36.60,
机器学习系统设计：Python语言实现,46.60,
正版基于Python的大数据分析基础及实战+Python数据分析基础2本书籍,80.60,
Raspberry Pi编程指南·第2版 基于Python的游戏编程与机器人制作,38.70,
包邮你也能看得懂的Python算法书+图解算法 使用Python Python语言快速入门教程书,78.80,
Selenium 2自动化测试实战+Web接口开发与自动化测试 基于Python语言,88.00,
官方正版 少博士趣学Python 周安琪 青少年Python编程启蒙 绘图软件密码程序设计书籍,59.10,
Python物理建模初学者指南,44.80,
达人迷 Python趣味编程10例,74.50,
包邮 小小的Python编程故事+编程猫：孩子们写的编程入门书 儿童编程学习入门书籍 2本,96.00,
PYTHON高级数据分析:机器学习.深度学习和NLP实例,48.40,
包邮 正版  Python绝技：运用Python成为黑客+Python 黑帽子：黑客与渗透测试,99.00,
Python程序设计基础教程 慕课版 大学教材,29.10,
面向自然语言处理的深度学习 用Python创建神经网络书籍,48.60,
利用Python进行数据分析 大量实践案例教会你如何利用Python库高效解决各式各样的数据分析问题,49.80,
Python机器学习,50.40,
现货2本 Python编程从入门到实践+从零开始学Python网络爬虫 python3.5,138.00,
正版 Python编程无师自通——专业程序员的养成 算机与互联网 编程语言与程序设计 计算机,45.80,
Python贝叶斯分析,53.10,
Python数据分析与挖掘实战 张良均 机械工业出版社,58.00,
Python编程 从入门到实践,62.00,
Python从入门到项目实践（全彩版）,72.40,
Python从小白到大牛,75.70,
零基础学Python（全彩版）,57.90,
Python核心编程（第3版）,68.30,
Python编程快速上手 让繁琐工作自动化,48.70,
Python基础教程（第3版）,78.20,
笨办法学Python 3,41.60,
利用Python进行数据分析（原书第2版）,93.50,
Python编程（第4版 套装上下册）,141.40,
Python编程从零基础到项目实战（微课视频版）,67.80,
Python神经网络编程,48.70,
Python 3网络爬虫开发实战,78.20,
基于Python的大数据分析基础及实战,59.30,
Python学习手册（套装上下册）（原书第5版）,172.10,
数据结构 Python语言描述,48.70,
Python零基础入门学习-水木书荟,33.70,
疯狂Python讲义,83.20,
流畅的Python,109.80,
教孩子学编程 Python语言版,41.60,
用Python写网络爬虫 第2版,34.60,
Python数据分析与挖掘实战,54.40,
Python算法教程,48.70,
Python Cookbook（第3版）中文版,76.20,
自动化平台测试开发：Python测试开发实战,48.70,
Python编程从入门到精通,55.70,
Python从菜鸟到高手,91.60,
你也能看得懂的Python算法书,41.60,
Python编程无师自通 专业程序员的养成,41.60,
Head First Python（第二版）,91.40,
Python 3 数据分析与机器学习实战,47.60,
对比Excel，轻松学习Python数据分析,41.60,
Python绝技：运用Python成为顶级黑客,62.40,
Python从入门到精通（软件开发视频大讲堂）,63.80,
Python编程从入门到实践+Python基础教程（第3版）（套装共2册）,122.20,
精通Python爬虫框架Scrapy,41.60,
Django企业开发实战 高效Python Web框架指南,78.20,
Python数据可视化之matplotlib实践,46.60,
Python 3标准库,157.20,
Python自然语言处理实战：核心技术与算法,54.40,
Python项目案例开发从入门到实战——爬虫、游戏和机器学习（从入门到实战·微课视频）,63.80,
